ticker,company_name,country,sector,pref_balanced,ESG_composite,E_score,S_score,G_score,market_cap,profitability_score,debt_to_equity,log_dollar_volume,price_to_book
AAON,"AAON, Inc.",US,Industrials,22.252765672142143,35.597198486185846,-1.388059303727062,-0.5132174961942588,-0.0481184991646478,6641746944.0,-0.1422304610594495,46.605,18.07056328728218,7.426068
AARTIIND.NS,AARTI INDUSTRIES LTD,India,Basic Materials,32.70197787462286,36.86951788244808,-1.0040821652962089,-0.558617812437756,-0.0852860956731146,1597176185.350113,-0.4233640185285304,69.555,15.718726113945625,2.6075976
ABB.NS,ABB INDIA LIMITED,India,Industrials,47.24438484746899,42.50967662430857,-0.744440481214394,0.0249257525085368,-0.3468243320360754,13991278313.77864,0.459285617970286,1.1622750000000002,16.98449214631713,16.595963
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,India,Financial Services,38.27019778746229,39.63156882866252,-0.9007479095388992,-0.7099790390294621,-0.2956815418385697,8424892118.834033,-0.2819976002805942,459.779,16.76223683073023,2.4300644
AES,The AES Corporation,US,Utilities,42.66845457593026,54.46711170804686,0.5159797128729143,0.7751348145516582,-0.792550740757873,10196924416.0,-0.5512234729215834,259.393,18.948756232009867,2.5065732
AIAENG.NS,AIA ENGINEERING LIMITED,India,Industrials,65.05531344284277,55.884002714916,0.8646065750672765,0.0539913186173211,-0.3976474654409546,3687745331.3542,0.734555346082603,13.852,14.899099677383608,4.653876
AJANTPHARM.NS,AJANTA PHARMA LIMITED,India,Healthcare,59.35300033523298,51.177730688053984,0.2706285659930851,0.000145278343033,-0.1404419441318891,3721527352.393245,0.3884720459283919,5.698,15.25983756793736,8.01283
ALGN,"Align Technology, Inc.",US,Healthcare,47.04324505531344,46.87551166035944,0.4178392541209829,-0.2702297480286635,-0.5221294967644285,12240550912.0,0.1562113492433173,2.826,19.027260516632182,3.0067503
ALKEM.NS,ALKEM LABORATORIES LTD.,India,Healthcare,48.94736842105262,45.70479283518227,-0.5390302187103508,-0.1737425236563139,-0.1082586303589385,6778822637.495967,0.1773620106999531,17.056,16.174155008902286,4.722001
ALKS,Alkermes plc,US,Healthcare,48.80657056654374,54.1255958934304,0.1970232219291366,-0.0793239671426237,0.4041632328028232,5806083584.0,0.427630635688759,3.848,18.01881240089804,3.171309
ALLE,Allegion plc,US,Industrials,66.21521957760645,59.08936424546,1.0255112806954434,0.1853050170639876,-0.2345383660044211,12151682048.0,1.1983173479213975,104.0,18.59580211066876,5.8718724
ALLY,Ally Financial Inc.,US,Financial Services,37.28126047603084,45.043360329214025,-1.493796681711286,0.055732727354874,-0.1381792958875788,12314213376.0,-0.6386225442002971,132.9965,18.75752381138047,0.9329337
AMH,American Homes 4 Rent,US,Real Estate,54.00268186389541,53.46458443755412,-0.493026878670383,0.5213302782384214,0.5553542229983727,12073224192.0,0.3447584546516918,66.32,18.12528029673836,1.5159255
